Title,Price,Stock,Descrption,Rating,Review,Brand
TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi System (3-Pack),"RM 1,159.00",In Stock,"AX1800 Whole Home Mesh Wi-Fi 6 System
SPEED: 574 Mbps at 2.4 GHz + 1201 Mbps at 5 GHz
SPEC: 4× Internal Antennas, 2× Gigabit Ports (WAN/LAN auto-sensing), Qualcomm 1 GHz Quad-core CPU
FEATURE: Deco App, Router/AP Mode, IPv6, IPTV, HomeCare (Parental Controls, Antivirus, QoS, Reports), OFDMA, MU-MIMO, 1024-QAM, WPA3, Beamforming, Alexa Supported""",Not available,Not available,TP-Link
TP-Link TL-WN821N 300Mbps Wireless N USB Adapter,RM 33.00,Out Of Stock,"300Mbps Wi-Fi USB Adapter
USB 2.0",Not available,Not available,TP-Link
HP 680 Tri-color Original Ink Advantage Cartridge,RM 40.00,Out Of Stock,"Cartridge Colors: Tri-color
Ink
~150 pages
Standard Capacity Ink Cartridges",Not available,Not available,HP
HP 680 Black Original Ink Advantage Cartridge,RM 40.00,Out Of Stock,"Cartridge Colors: Black
Ink
~480 pages
Standard Capacity Ink Cartridges",Not available,Not available,HP
"Apple MacBook Air (M1 chip, 2020)","RM 4,399.00 - RM 5,399.00",In Stock,"Apple-designed M1 chip
Up to 18 hours of battery life1
8-core CPU delivers up to 3.5x faster performance
Up to 8 GPU cores with up to 5x faster graphics
16-core Neural Engine",Not available,Not available,Apple
Logitech Wireless Mouse M185,RM 55.00,In Stock,"Reliable Wireless
2.4 GHz Wireless Connectivity
Built to Last",Not available,Not available,Logitech
Logitech M331 Silent Plus,RM 65.00,In Stock,"Silent Mice
24-Month Battery Life
Crafted For Your Right Hand
Enjoy The Sound of Silence",Not available,Not available,Logitech
Logitech M590 Multi-Device Silent,RM 139.00,In Stock,Silence and Flow,Not available,Not available,Logitech
Logitech MX Master 2S,RM 349.00,Out Of Stock,"Effortless multi-computer workflow
Tracks on Any Surface
Fast Recharging
Hyper-efficient Scrolling",Not available,Not available,Logitech
Logitech MX Master 3,RM 449.00,Out Of Stock,"Advanced 2.4 Ghz Wireless Technology
Rechargeable Li-Po (500 Mah) Battery
Get Three Hours of Use From A One-Minute",Not available,Not available,Logitech
Logitech MK240 NANO Wireless Keyboard and Mouse Combo,RM 0.00,Out Of Stock,"24 Month Battery Life
2.4 Ghz Unifying Ready
1000DPI Sensor",Not available,Not available,Logitech
HP Pavilion Gaming 15 Laptop (i7-1165G7/8GB/512GB SSD/MX450 2GB) 15-EG0109TX,"RM 4,109.00",Out Of Stock,"15.6-inch FHD
Intel Core i7
8GB RAM / 512GB SSD
Preloaded Office Home & Student",Not available,Not available,HP
HP Laptop 14s-fq0075AU 14-Inch (R3-4300U/4GB/512GB SSD),"RM 2,169.00",Out Of Stock,"14 Inch
AMD R3 - 4300U
4GB RAM
512GB SSD
Preloaded Office Home & Student",Not available,Not available,HP
Logitech B175 Wireless Mouse,RM 35.00,Out Of Stock,"800 Dpi
12-month Battery Life
Optical Scroll Wheel",Not available,Not available,Logitech
Logitech M171 Wireless Mouse,RM 46.00,In Stock,"Reliable 2.4Ghz Wireless
12-Month Battery Life
Plug-And-Play Connection
Comfortable And Mobile",Not available,Not available,Logitech
TP-Link AX5400 Dual-Band Gigabit Wi-Fi 6 Router Archer AX73,RM 449.00,In Stock,"AX5400 Dual-Band Gigabit Wi-Fi 6 Router
Gigabit WiFi for 8K Streaming
Fully Featured Wi-Fi 6
Connect 200+ Devices
Extensive Coverage
HomeShield
More Vents, Less Heat
USB Sharing
Easy Setup",Not available,Not available,TP-Link
Not available,Not available,Not available,Not available,Not available,Not available,Not
Logitech M377 Bluetooth Mouse,RM 0.00,Out Of Stock,"Connects to virtually any bluetooth
Compact, mobile design
Curved shape with rubber grip",Not available,Not available,Logitech
Microsoft Arc Mouse,RM 339.00,In Stock,"Bluetooth® 4.0
2.4 GHz frequency range
2 AAA alkaline batteries",Not available,Not available,Microsoft
Microsoft Modern Mobile Mouse (Bluetooth),RM 155.00,In Stock,"Bluetooth® 4.2
2.4GHz frequency range
BlueTrack™ Technology ",Not available,Not available,Microsoft
Microsoft Comfort Mouse 4500,RM 102.00,In Stock,"Wired Mouse
Five customisable buttons
BlueTrack Technology®",Not available,Not available,Microsoft
HP 14S(AMD 3020E/4GB/256GB SSD) 14-SFQ0058AU,"RM 1,649.00",Out Of Stock,"AMD 3020e
14""
4GB Ram & 256GB SSD
Windows 10 Home 64",Not available,Not available,HP
HP ENVY13 (i7-1165G7/16GB DDR4/512GB SSD/ MX450 2GB) 13-BA1011TX,"RM 5,499.00",Out Of Stock,"13.3-inch
Intel Core i7-1165G7
16GB RAM / 512GB SSD
Windows 10 Home 64",Not available,Not available,HP
Microsoft Bluetooth Desktop-Black,RM 275.00,In Stock,"Keyboard + Mouse
Bluetooth
2.4 GHz frequency range",Not available,Not available,Microsoft
Microsoft Wireless Desktop 3050,RM 229.00,In Stock,"Built in palm rest
Snap-in mini-transceiver
Customizable shortcut keys",Not available,Not available,Microsoft
Microsoft Wired Desktop 600-Black,RM 82.00,In Stock,"Wired Keyboard + Mouse
Spill resistant
Quiet-touch keys",Not available,Not available,Microsoft
Microsoft USB-C Travel Hub-Black,RM 445.00,In Stock,"Support for Android
USB Power Policy
HDMI priority
CFU firmware update",Not available,Not available,Microsoft
HP Slim S01-PF1166D Desktop PC (I5-10400/8GB/512GB SSD),"RM 2,899.00",In Stock,"Intel Core i5
4GB RAM / 512GB SSD
Preloaded Office Home & Student
Wired USB Keyboard + Mouse",Not available,Not available,HP
Apple USB-C Digital AV Multiport Adapter,RM 349.00,In Stock,Connect your USB-C-enabled Mac or iPad to an HDMI display,Not available,Not available,Apple
Apple Magic Keyboard for iPad Air (4th generation) and iPad Pro 11-inch (2nd generation),"RM 1,349.00",Out Of Stock,Not available,Not available,Not available,Apple
Apple Magic Keyboard with Numeric Keypad,RM 489.00,In Stock,Scissor mechanism beneath each key,Not available,Not available,Apple
HP Spectre x360 Convertible 13.3 inch (i7-1165G7/16GB onboard/1TB SSD) 13AW2100TU,"RM 6,899.00",Out Of Stock,"13.3-inch
Intel Core i7
16GB RAM / 1TB SSD",Not available,Not available,HP
HP Spectre x360 Convertible 13.5 inch (i7-1165G7/16GB onboard/1TB SSD) 14EA0054TU,"RM 7,099.00",Out Of Stock,"13.5-inch
Intel Core i7
16GB RAM / 1TB SSD
Preloaded Office Home & Student",Not available,Not available,HP
HP Spectre x360 Convertible 13.3 inch (i5-1135G7/8GB Onboard/512GB SSD) 13AW2099TU,"RM 5,699.00",Out Of Stock,"13.3-inch
Intel Core i5
8GB RAM / 512GB SSD",Not available,Not available,HP
TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco M4 V1 (2-pack),RM 399.00,Out Of Stock,"Wi-Fi Dead-Zone Killer
connects up to 100 Devices
Two Modes in one
Easy Setup
Parental Controls",Not available,Not available,TP-Link
SanDisk Ultra USB 3.0 Flash Drive,RM 29.00 - RM 34.00,Out Of Stock,"High-speed USB 3.0 for super-fast file t
Easily move content between computers AN",Not available,Not available,SanDisk
Targus 360 Perimeter Laptop Sleeve,RM 84.00 - RM 103.00,In Stock,"3 layers durable padding
Zipped front pocket
Suitable for laptop,tablet & ultrabook
Soft touch materials
Tactile zip pullers",Not available,Not available,Targus
Promate Laptop Cooling Pad Air Base-1,RM 85.00,Out Of Stock,"Two fan that generate cool air
Rubber grips on the surface keep laptop
Fan speed can be controlled",Not available,Not available,Promate
MSI MPG ARTYMIS 343CQR 34 Inch Monitor MSI-MPG343CQR,"RM 3,999.00",Out Of Stock,1000R Perfect Curved Screen,Not available,Not available,MSI
MSI Optix G27CQ4 27 Inch Monitor MSI-G27CQ4,"RM 1,638.00",In Stock,"Curved Gaming display (1500R) 
WQHD High Resolution 
165Hz Refresh Rate
Wide Color Gamut
AMD FreeSync
Frameless design
Night Vision",Not available,Not available,MSI
Acer 15.6-Inch Predator Helios 300 PH315-53-79E7,"RM 5,499.00",Out Of Stock,"Windows 10 Home
15.6"" screen size
Intel® Core™ i7-10870H
8GB DDR4
512GB PCIe NVMe SSD
Nvidia GeForce RTX 3060",Not available,Not available,Acer
HP ENVY Laptop - 15-ep0010tx,"RM 6,999.00",Out Of Stock,"15.6-inch
Intel Core i7
16GB RAM / 1TB SSD
6GB NVIDIA GeForce GTX1660Ti",Not available,Not available,HP
Apple iMac 24-Inch (2 ports),"RM 5,599.00",In Stock,"• Immersive 24-inch 4.5K Retina display with P3 wide color gamut and 500 nits of brightness¹
• Apple M1 chip delivers powerful performance with 8-core CPU and 7- or 8-core GPU
• Strikingly thin 11.5 mm design in vibrant colors
• 1080p FaceTime HD camera with M1 ISP for amazing video quality
• Studio-quality three-mic array for crystal clear calls and voice recordings
• Six-speaker sound system for a remarkably robust and high-quality audio experience
• Up to 512GB of ultrafast SSD storage
• Two Thunderbolt / USB 4 ports and up to two USB 3 ports
• Ultrafast Wi-Fi 6 and Bluetooth 5.0 wireless
• Color-matched Magic Mouse with Magic Keyboard or Magic Keyboard with Touch ID²
• macOS has a bold, easy-to-use design and works seamlessly with iPhone
• Available in blue, green, pink, silver, yellow, orange, and purple",Not available,Not available,Apple
TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco HC4 (2-pack),RM 399.00,Out Of Stock,"Seamless Whole Home WIFI Coverage
867Mbps + 300Mbps
2 x Gigabit Ports
2 Internal Antenna",Not available,Not available,TP-Link
Microsoft Surface Laptop 4,"RM 3,999.00 - RM 8,299.00",In Stock,"Featuring 11th Gen Intel Core processor
Available on 2 sizes: 13.5” and 15”
Available on 2 colours: Platinum & Black
Fast charging
Exceptional typing comfort
Available with both USB-C and USB A ports",Not available,Not available,Microsoft
Boomwave Backpack Light Series - Dark Blue,RM 132.00,Out Of Stock,Not available,Not available,Not available,Boomwave
HP 682 Black Original Ink Advantage Cartridge HP-682-BLACK,RM 40.00,In Stock,Not available,Not available,Not available,HP
HP 682 Tri-color Original Ink Advantage Cartridge HP-682-TRI-COLOR,RM 40.00,In Stock,Not available,Not available,Not available,HP
Promate Cooling Pad Air Base,RM 139.00,In Stock,Not available,Not available,Not available,Promate
Promate Deskmate 3,RM 149.00,In Stock,Not available,Not available,Not available,Promate
"SanDisk 16GB Ultra Dual Drive USB Type-C, USB 3.1 SD-DDC2-016G",RM 41.00,Out Of Stock,Not available,Not available,Not available,SanDisk
Boomwave Vertikel Sleeve 12-13-inch,RM 89.00,In Stock,"Boomwave VERTIKEL SLEEVE 12-13"" BLUE",Not available,Not available,Boomwave
Boomwave Vertikel Sleeve 14-inch,RM 89.00,In Stock,"Boomwave VERTIKEL SLEEVE 14"" BLUE",Not available,Not available,Boomwave
HP Pavilion X360 14 Intel Core i5 HP-14DY0018TU,"RM 3,499.00",Out Of Stock,"14-Inch
Intel Core i5-1135G7
8 GB DDR4-3200 MHz RAM
512 GB PCIe NVMe M.2 SSD
Windows 10 Home Single Language 64
Intel Iris Xᵉ Graphics",Not available,Not available,HP
Samsung 27-Inch Smart Monitor M5 SAM-LS27AM500N,"RM 1,288.00",In Stock,"1,980 x 1,080 Resolution
Smart Hub
Ultrawide Game View
Adaptive Picture
Remote Access
Mobile Connectivity",Not available,Not available,Samsung
Mi 34-Inch Curved Gaming Monitor XMI-GMONITOR34,"RM 2,199.00",Out Of Stock,"21:9 UltraWide Screen
WQHD 3440 x 1440 Resolution
1500R Extreme Curvature 121% sRGB Wid
144Hz High Refresh Rate
FreeSync Premium Variable Refresh Rate
Low Blue Light, No Visible Flicker* 
121% sRGB Wide Color Gamut",Not available,Not available,Mi
Apple iMac 24-inch (4-ports),"RM 6,449.00 - RM 7,249.00",In Stock,"• Immersive 24-inch 4.5K Retina display with P3 wide color gamut and 500 nits of brightness¹
• Apple M1 chip delivers powerful performance with 8-core CPU and 7- or 8-core GPU
• Strikingly thin 11.5 mm design in vibrant colors
• 1080p FaceTime HD camera with M1 ISP for amazing video quality
• Studio-quality three-mic array for crystal clear calls and voice recordings
• Six-speaker sound system for a remarkably robust and high-quality audio experience
• Up to 512GB of ultrafast SSD storage
• Two Thunderbolt / USB 4 ports and up to two USB 3 ports
• Ultrafast Wi-Fi 6 and Bluetooth 5.0 wireless
• Color-matched Magic Mouse with Magic Keyboard or Magic Keyboard with Touch ID²
• macOS has a bold, easy-to-use design and works seamlessly with iPhone
• Available in blue, green, pink, silver, yellow, orange, and purple",Not available,Not available,Apple
HP Pavilion x360 Convertible Intel Core i3 HP-14DY0022TU,"RM 2,999.00",Out Of Stock,"14-Inch
Intel Core i3-1125G4
8 GB DDR4-3200 MHz RAM
512 GB PCIe NVMe M.2 SSD
Windows 10 Home 64
Intel UHD Graphics",Not available,Not available,HP
HP Pavilion x360 Convertible Intel Core i7 HP-14DY0025TU,"RM 3,999.00",Out Of Stock,"14-Inch
Intel Core i7-1165G7
8 GB DDR4-3200 MHz RAM
512 GB PCIe NVMe M.2 SSD
Windows 10 Home Single Language 64
Intel Iris Xᵉ Graphics",Not available,Not available,HP
HONOR MagicBook X 15,"RM 2,099.00 - RM 2,699.00",In Stock,"10th Gen Intel® Core™ Processor
Ultra-thin at 16.9 mm
15.6"" 1920 x 1080 pixel, 141 PPI
8GB DDR4 Dual-Channel RAM
Efficient Heat Dissipation with Dual Heat Pipes
Premium Aluminum Metal Body Design",Not available,Not available,HONOR
ASUS BR1100F ASU-BR1100FK-ABP0423R,"RM 1,699.00",Out Of Stock,"Processor: Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, Up To 2.8 GHz, 2 Cores) 
Memory: 4G DDR4 On Board
Storage: 128G eMMC
Optical: No
Card Reader: No
Graphics: Intel® UHD Graphics 
Display: 11.6""HD 
OS: Windows 10 Pro Entry 
Battery: 42WHrs, 3S1P, 3-Cell Li-Ion
Weight: 1.40 KG 
Size: 29.46 x 20.49 x 1.99 ~ 2.00 CM 
Web Cam: 720p HD Camera/ With Privacy Shutter, World-Facing Camera 13.0M Camera 
Wireless: Wi-Fi 5(802.11ac)+Bluetooth 5.0 (Dual band) 2*2 – Gigabit WiFi 
Finger Print: No 
Keyboard&Touchpad: Chiclet Keyboard / 1.35MM Key-Travel / Spill-Resistant Keyboard
Interface: 1x HDMI 1.4
                  1x 3.5mm Combo Audio Jack
                  1x RJ45 LAN Jack for LAN insert(10/100/1000)
                  1x DC-in//1x USB 2.0 Type-A
                  1x USB 3.2 Gen 1 Type-A
                  1x USB 3.2 Gen 2 Type-C Support Power Delivery 
Warranty: 1 Year On-site 
Expansion Slot (Includes Used): 1x M.2 2280 PCIe 3.0x4 
Include In The Box: Sleeve & Stylus",Not available,Not available,ASUS
Acer Swift 3: R5-5500U /14-inch/ 8 GB LPDDR4X/ 512GB SSD /AMD Radeon Graphics /OPI /BT 5.2 /HD Webcam,"RM 3,299.00",Out Of Stock,"Windows 10 Home
14-Inch
Ryzen™ 5 5500U
8GB RAM
512GB Hard Drive Capacity
AMD RadeonTM Graphics",Not available,Not available,Acer
HP Laptop 14s-cf2040TX 14 Inch (Intel Core i5 - 10210U/8GB RAM/512GB SSD/AMD Radeon 530),RM 0.00,Out Of Stock,"Intel Core i5 - 10210U
8GB RAM
512GB SSD
AMD Radeon 530",Not available,Not available,HP
Acer Predator Orion 3000 w Tempered Glass + Acer Nitro XV2 27-inch LED-backlit LCD monitor-Acer Predator CPU + Acer Nitro XV2 Monitor,"RM 999.00 - RM 4,599.00",In Stock,"Acer Predator Orion 3000
Windows 10 Home 64-bit
Intel® Core i5-10400F
8GB DDR4 2666MHz
256GB PCIE SSD
NVIDIA® GeForce® GTX 1650

Acer Nitro XV2 27-inch LCD monitor
27 Inch 1920 x 1080 (FHD)
IPS Panel Normal mode: 1920x1080@144Hz Overclocking mode: 1920x1080@165Hz
100,000,000:1 Contrast Ratio (ACM)
G-Sync Compatible
250nits (HDR10)
HDMI 2.0 x2 DP 1.2 x1 Audio out",Not available,Not available,Acer
TP-Link AX6600 Tri-Band Wi-Fi 6 Router Archer AX90,RM 699.00,Out Of Stock,"Tri-band WIFI 6
Stronger WIFI coverage with onemesh tech
Fast speed uo to 4804 mbps at 5.0ghz
8 x Antennas
Supports Unifi and Maxis fibre and more",Not available,Not available,TP-Link
HUAWEI 28.2-inch MateView,"RM 2,988.00",In Stock,"Size: 28.2 inches
Resolution: 3840 x 2560 pixels
Display: 608.36mm x 591.12mm x 182.00mm
Type: IPS Screen
Weight: 6.2kg (including the base)",Not available,Not available,HUAWEI
HP Laptop 14s FQ0069AU,"RM 1,799.00",In Stock,Not available,Not available,Not available,HP
"Acer ENDURO Urban N3 (i5-1135G7 / 4GB DDR4 / 512GB PCIe NVMe SSD / 14"" IPS FHD/ Intel Iris Xe Graphics - Denim Blue","RM 2,999.00",Out Of Stock,Windows 10 Home,Not available,Not available,Acer
Acer Swift 3 (i5-1135G7 / 8GB LPDDR4X / 512GB PCIe NVMe SSD / Intel Iris Xe Graphics),"RM 3,499.00",Out Of Stock,"""14"""" FHD IPS Slim Bezel (100% sRGB)""
Intel® Core i5-1135G7
""8GB Onboard LPDDR4X (No Extra Slot)""
512GB PCIe NVMe Gen4 SSD
Intel® Iris® Xe Graphics",Not available,Not available,Acer
"MSI Summit E13 Flip Evo (i5-1135G7/ 16GB+512GB/13.4""/Iris XE Graphics)","RM 5,999.00",Out Of Stock,"Windows 10 Home
Intel® Iris® Xe graphics
LPDDR4 16 GB
512GB NVMe PCIe Gen4x4 SSD",Not available,Not available,MSI
MSI MPG TRIDENT AS 11TG i7-3060 MSI-MPGTDENT-AS,"RM 8,199.00",In Stock,CPU: i7-11700F,Not available,Not available,MSI
MSI Optix G272 27 Inch Gaming Monitor MS-G272,"RM 1,149.00",In Stock,IPS Panel – Optimize screen colors and brightness to enhance your viewing experience.,Not available,Not available,MSI
Acer Nitro 5 (i5-11400H / 8GB DDR4 / 512GB PCIe NVMe SSD / Nvidia RTX 3060 6GB GDDR6),"RM 4,799.00",Out Of Stock,"15.6 Inch
Windows 10 Home
Intel® Core i5-11400H
8GB 3200Mhz DDR4 RAM
512GB PCIe SSD
Nvidia RTX 3060 6GB GDDR6",Not available,Not available,Acer
Logitech M100r Corded Mouse,RM 29.00,In Stock,"Height: 113 mm
Width: 62 mm
Depth: 38 mm
Weight: 90 g
Cable Length: 180cm",Not available,Not available,Logitech
HP Victus Laptop 16E0127AX (16.1Inch / AMD Ryzen / 8GB RAM / 512GB SSD / Win10),"RM 3,899.00",Out Of Stock,"AMD Ryzen™ 5 Processor
Windows 10 Home 64
8 GB DDR4-3200 MHz RAM (1x8 GB)
512 GB PCIe® NVMe™ TLC M.2 SSD
NVIDIA®️ GeForce®️ GTX 1650",Not available,Not available,HP
HP All-in-One 24-DP0417D [AMD Ryzen™ 3 4300U/ RAM 8GB/ SSD 256G],"RM 3,099.00",In Stock,"AMD Ryzen™ 3 4300U (2.7 GHz base clock(2h), up to 3.7 GHz max boost clock(2i), 4 MB L3 cache, 4 cores)
RAM 8GB(1x8GB) DDR4 3200 SODIMM
SSD 256G 2280 PCIe NVMe Value",Not available,Not available,HP
ASUS ZENBOOK [i5-1135G7/8GB+512GB/Intel Iris Xe Graphics/14'' FHD],"RM 3,999.00",Out Of Stock,"Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
Intel Iris Xᵉ Graphics (available for 11th Gen Intel® Core™ i5 with dual channel memory)
8GB LPDDR4X on board
512GB M.2 NVMe™ PCIe® 3.0 SSD",Not available,Not available,ASUS
"MSI GE76 Raider 11UH-413 (Up to 11th Gen. Intel® Core™ i9 Processor/RTX3080, 16GB+2TB)","RM 17,499.00",Out Of Stock,"17.3″ FHD (1920*1080), 360Hz, close to 100%sRGB",Not available,Not available,MSI
Microsoft 365 Family (Digital Download Delivery),RM 259.00,In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft 365 Personal (Digital Download Delivery),RM 199.00,In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft 365 Business Standard (Digital Download Delivery),RM 629.00,In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
HP 245G8 R3-3300U 14 4GB/256 PC,"RM 2,099.00",Out Of Stock,14-inch,Not available,Not available,HP
ASUS Zenbook 14 [I7-1165G7/8GB+512GB/Intel Iris Xᵉ Graphics],"RM 4,699.00",Out Of Stock,Windows 10 Home - ASUS recommends Windows 10 Pro for business,Not available,Not available,ASUS
Microsoft Surface Go 3,"RM 1,888.00 - RM 2,988.00",In Stock,"245 mm × 175 mm × 8.3 mm (9.65” × 6.9” × 0.33”)
Wi-Fi: 544 g (1.2 lbs), not including Type Cover
Windows 11 Home in S mode
Microsoft 365 Family one month trial",Not available,Not available,Microsoft
Samsung 24-Inch Smart Monitor M5 SAM-LS24AM506N,"RM 1,088.00",Out Of Stock,"Access smart tv apps without your PC or laptop
Unlock a full PC experience with Wireless DeX
Watch movies on the big screen with Tap view
Work seamlessley with Microsoft 365 or use Remote PC to work",Not available,Not available,Samsung
Samsung 32-Inch Smart Monitor M5 SAM-LS32AM500N,"RM 1,388.00",Out Of Stock,"1,980 x 1,080 Resolution
Smart Hub
Ultrawide Game View
Adaptive Picture
Remote Access
Mobile Connectivity",Not available,Not available,Samsung
Samsung 32-Inch Smart Monitor M7 SAM-LS32AM700U,"RM 1,999.00",In Stock,"The World's 1st Do-It-All Screen
Mobile meets big screen
Stream endless entertainment",Not available,Not available,Samsung
"MSI GS66 Stealth 11UG-414 (Tiger Lake i7-11800H+HM570 Processor/RTX3070 Max Q, 8GB+1TB)","RM 11,999.00",Out Of Stock,"15.6"" QHD (2560*1440), 165Hz",Not available,Not available,MSI
Samsung 43-Inch Smart Monitor M7 SAM-LS43AM702U,"RM 2,888.00",Out Of Stock,"Access Smart TV Apps without PC or laptop
Unlock a full PC experience with Wireless DeX
Watch movies on the big screen with Tap view
Work seamlessley with Microsoft 365 or use PC on Screen to work",Not available,Not available,Samsung
Samsung 27-Inch Smart Monitor M5 SAM-LS27AM501N,"RM 1,488.00",Out Of Stock,"Access smart tv apps without PC or laptop
Unlock a full PC experience with Wireless DeX
Watch movies on the big screen with Tap view
Work seamlessley with Microsoft 365 or use Remote PC to work",Not available,Not available,Samsung
MSI MAG CH130 X Gaming Chair,"RM 1,499.00",In Stock,PVC Leather,Not available,Not available,MSI
HONOR MagicBook 14-inch AMD R5-5500U 8GB + 256/512GB Silver,"RM 2,699.00 - RM 2,999.00",In Stock,Windows 10 Home (64-bit),Not available,Not available,HONOR
Logitech MK295 Silent Wireless Keyboard and Mouse Combo,RM 119.00,In Stock,Long Lasting Battery,Not available,Not available,Logitech
Logitech K400 Plus Wireless Touch Keyboard,RM 169.00,In Stock,"Quiet keys, Large touchpad",Not available,Not available,Logitech
Logitech MK220 Wireless Keyboard and Mouse Combo,RM 79.00,In Stock,Compact and Wireless,Not available,Not available,Logitech
"MSI Z16 Creator A11UET-207 (Tiger Lake i7-11800H Processor/RTX3060 Max Q, 8GB+1TB)","RM 11,999.00",Out Of Stock,"16"" QHD (2560*1440), 120Hz DCI-P3 100% Typical, Finger Touch Panel",Not available,Not available,MSI
Microsoft Office Home & Student 2021 (Digital Download Delivery),RM 399.00,In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft Office Home & Business 2021 (Digital Download Delivery),RM 949.00,In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Logitech MK200 Media Corded Keyboard and Mouse Combo,RM 69.00,In Stock,Durable and Reliable,Not available,Not available,Logitech
ASUS Zenbook Flip S (i7-1165G7 / 16GB LPDDR4X / 1TB PCIe Gen 3 SSD / Intel® Iris Xe Graphics),"RM 6,799.00",Out Of Stock,Windows 10 Home,Not available,Not available,ASUS
Canon PIXMA MG2570S,RM 209.00,Out Of Stock,"Print, Scan, Copy",Not available,Not available,Canon
"MSI Bravo 15 B5DD-099MY (AMD Ryzen™ 5000 H-Series Mobile Processor/RX5500M, 4GB+512GB)","RM 4,199.00",Out Of Stock,Windows 10 Home,Not available,Not available,MSI
HUAWEI MateBook 14s,"RM 4,999.00 - RM 6,699.00",In Stock,2.5K HUAWEI FullView Display,Not available,Not available,HUAWEI
HUAWEI MateView GT 34-inch Sound Edition,"RM 2,488.00",In Stock,Ultrawide High-Refresh Monitor,Not available,Not available,HUAWEI
ASUS TUF Gaming F17 (i5-11400H/8GB+512GB/RTX3050 4GB),"RM 4,499.00",Out Of Stock,Windows 10 Home - ASUS recommends Windows 10 Pro for business,Not available,Not available,ASUS
ASUS ROG Flow X13 GV301,"RM 5,999.00 - RM 6,109.00",Out Of Stock,120Hz Refresh Rate,Not available,Not available,ASUS
Asus ZenBook 13 [OLED i7-1165G7/8GB RAM/512GB SSD],"RM 4,699.00",Out Of Stock,8GB LPDDR4X on board,Not available,Not available,Asus
Epson EcoTank L3250 A4 Wi-Fi All-in-One Ink Tank Printer,RM 699.00,Out Of Stock,"Print, scan, copy",Not available,Not available,Epson
Epson EcoTank L3210 A4 All-in-One Ink Tank Printer,RM 579.00,In Stock,"Print, scan, copy",Not available,Not available,Epson
ASUS ROG Zephyrus G14 GA401Q-HHZ078TS,"RM 4,799.00",Out Of Stock,Windows 10 (64bit),Not available,Not available,ASUS
HP Pavilion Aero Laptop 13 (AMD Ryzen™ 5 5600U / 8 GB DDR4 / 512 GB SSD / AMD Radeon™ Graphics),"RM 3,549.00",In Stock,Ultra-portable at less than 1 kg,Not available,Not available,HP
ASUS Laptop A516E-AEJ799TS (i3-1115G4/4GB+256GB/Intel® UHD Graphics),"RM 2,299.00",Out Of Stock,Windows 10 Home,Not available,Not available,ASUS
HP Laptop 14s-DQ3000TU Series (Intel® Celeron® N4500/4GB+512GB/Intel® UHD Graphics),RM 0.00,Out Of Stock,Windows 10 (64bit),Not available,Not available,HP
Apple Magic Trackpad,RM 489.00,In Stock,Wireless and rechargeable,Not available,Not available,Apple
"Apple MacBook Pro (16-Inch, M1 Chip, 2021)","RM 10,799.00 - RM 14,799.00",Out Of Stock,Stunning 16-inch Liquid Retina display,Not available,Not available,Apple
Microsoft Surface Dock V2,"RM 1,299.00",In Stock,199 W power supply charges any Surface device,Not available,Not available,Microsoft
HP All-In-One-22-DF0215D Bundle PC (21.5'' Touch/R3-3250U/4GB/256GB SSD),"RM 2,299.00",Out Of Stock,21.5-inch Touch,Not available,Not available,HP
"MSI Bravo 15 B5DD-214 (AMD Ryzen 5 5600 H/RX5500M, 8GB+512GB)","RM 4,249.00",In Stock,Windows 11 Home,Not available,Not available,MSI
"MSI GF63 Thin 11UC-236MY (Tiger Lake i5-11400H/RTX3050 Max-Q, 4GB+512GB)","RM 4,299.00",In Stock,Windows 11 Home,Not available,Not available,MSI
MSI Modern 14 B11MOU-870MY (Tiger Lake i3-1115G4 / 4GB+512GB / UHD Graphics),"RM 2,699.00",In Stock,Windows 11 Home,Not available,Not available,MSI
Microsoft Visio Professional 2021 (Digital Download Delivery),"RM 3,199.00",In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft Visio Standard 2021 (Digital Download Delivery),"RM 1,599.00",In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft Project Standard 2021 (Digital Download Delivery),"RM 3,199.00",In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
Microsoft Project Professional 2021 (Digital Download Delivery),"RM 6,199.00",In Stock,THIS PRODUCT IS NON-REFUNDABLE.,Not available,Not available,Microsoft
