,Product_Name,Price
67,ASUS Zenbook Flip S (i7-1165G7 / 16GB LPDDR4X / 1TB PCIe Gen 3 SSD / Intel® Iris Xe Graphics),"RM 6,799.00"
68,Logitech MK200 Media Corded Keyboard and Mouse Combo,RM 69.00
69,Microsoft Office Home & Business 2021 (Digital Download Delivery),RM 949.00
70,Microsoft Office Home & Student 2021 (Digital Download Delivery),RM 399.00
71,"MSI Z16 Creator A11UET-207 (Tiger Lake i7-11800H Processor/RTX3060 Max Q, 8GB+1TB)","RM 11,999.00"
72,Logitech MK220 Wireless Keyboard and Mouse Combo,RM 79.00
73,Logitech K400 Plus Wireless Touch Keyboard,RM 169.00
74,Logitech MK295 Silent Wireless Keyboard and Mouse Combo,RM 119.00
75,HONOR MagicBook 14-inch AMD R5-5500U 8GB + 256/512GB Silver,"RM 2,699.00 - RM 2,999.00"
76,MSI MAG CH130 X Gaming Chair,"RM 1,499.00"
77,Samsung 27-Inch Smart Monitor M5 SAM-LS27AM501N,"RM 1,488.00"
78,Samsung 43-Inch Smart Monitor M7 SAM-LS43AM702U,"RM 2,888.00"
79,"MSI GS66 Stealth 11UG-414 (Tiger Lake i7-11800H+HM570 Processor/RTX3070 Max Q, 8GB+1TB)","RM 11,999.00"
80,Samsung 32-Inch Smart Monitor M7 SAM-LS32AM700U,"RM 1,999.00"
81,Samsung 32-Inch Smart Monitor M5 SAM-LS32AM500N,"RM 1,388.00"
82,Samsung 24-Inch Smart Monitor M5 SAM-LS24AM506N,"RM 1,088.00"
83,Microsoft Surface Go 3,"RM 1,888.00 - RM 2,988.00"
84,ASUS Zenbook 14 [I7-1165G7/8GB+512GB/Intel Iris Xᵉ Graphics],"RM 4,699.00"
85,HP 245G8 R3-3300U 14 4GB/256 PC,"RM 2,099.00"
86,Microsoft 365 Business Standard (Digital Download Delivery),RM 629.00
87,Microsoft 365 Personal (Digital Download Delivery),RM 199.00
88,Microsoft 365 Family (Digital Download Delivery),RM 259.00
89,"MSI GE76 Raider 11UH-413 (Up to 11th Gen. Intel® Core™ i9 Processor/RTX3080, 16GB+2TB)","RM 17,499.00"
90,ASUS ZENBOOK [i5-1135G7/8GB+512GB/Intel Iris Xe Graphics/14'' FHD],"RM 3,999.00"
91,HP All-in-One 24-DP0417D [AMD Ryzen™ 3 4300U/ RAM 8GB/ SSD 256G],"RM 3,099.00"
92,HP Victus Laptop 16E0127AX (16.1Inch / AMD Ryzen / 8GB RAM / 512GB SSD / Win10),"RM 3,899.00"
93,Logitech M100r Corded Mouse,RM 29.00
94,Acer Nitro 5 (i5-11400H / 8GB DDR4 / 512GB PCIe NVMe SSD / Nvidia RTX 3060 6GB GDDR6),"RM 4,799.00"
95,MSI Optix G272 27 Inch Gaming Monitor MS-G272,"RM 1,149.00"
96,MSI MPG TRIDENT AS 11TG i7-3060 MSI-MPGTDENT-AS,"RM 8,199.00"
97,"MSI Summit E13 Flip Evo (i5-1135G7/ 16GB+512GB/13.4""/Iris XE Graphics)","RM 5,999.00"
98,Acer Swift 3 (i5-1135G7 / 8GB LPDDR4X / 512GB PCIe NVMe SSD / Intel Iris Xe Graphics),"RM 3,499.00"
99,"Acer ENDURO Urban N3 (i5-1135G7 / 4GB DDR4 / 512GB PCIe NVMe SSD / 14"" IPS FHD/ Intel Iris Xe Graphics - Denim Blue","RM 2,999.00"
100,HP Laptop 14s FQ0069AU,"RM 1,799.00"
101,HUAWEI 28.2-inch MateView,"RM 2,988.00"
102,TP-Link AX6600 Tri-Band Wi-Fi 6 Router Archer AX90,RM 699.00
103,Acer Predator Orion 3000 w Tempered Glass + Acer Nitro XV2 27-inch LED-backlit LCD monitor-Acer Predator CPU + Acer Nitro XV2 Monitor,"RM 999.00 - RM 4,599.00"
104,HP Laptop 14s-cf2040TX 14 Inch (Intel Core i5 - 10210U/8GB RAM/512GB SSD/AMD Radeon 530),RM 0.00
105,Acer Swift 3: R5-5500U /14-inch/ 8 GB LPDDR4X/ 512GB SSD /AMD Radeon Graphics /OPI /BT 5.2 /HD Webcam,"RM 3,299.00"
106,ASUS BR1100F ASU-BR1100FK-ABP0423R,"RM 1,699.00"
107,HONOR MagicBook X 15,"RM 2,099.00 - RM 2,699.00"
108,HUAWEI MateBook D15 2021,"RM 2,099.00 - RM 3,699.00"
109,HP Pavilion x360 Convertible Intel Core i7 HP-14DY0025TU,"RM 3,999.00"
110,HP Pavilion x360 Convertible Intel Core i3 HP-14DY0022TU,"RM 2,999.00"
111,Apple iMac 24-inch (4-ports),"RM 6,449.00 - RM 7,249.00"
112,Mi 34-Inch Curved Gaming Monitor XMI-GMONITOR34,"RM 2,199.00"
113,Samsung 27-Inch Smart Monitor M5 SAM-LS27AM500N,"RM 1,288.00"
114,HP Pavilion X360 14 Intel Core i5 HP-14DY0018TU,"RM 3,499.00"
115,Boomwave Vertikel Sleeve 14-inch,RM 89.00
116,Boomwave Vertikel Sleeve 12-13-inch,RM 89.00
117,"SanDisk 16GB Ultra Dual Drive USB Type-C, USB 3.1 SD-DDC2-016G",RM 41.00
118,Promate Deskmate 3,RM 149.00
119,Promate Cooling Pad Air Base,RM 139.00
120,HP 682 Tri-color Original Ink Advantage Cartridge HP-682-TRI-COLOR,RM 40.00
121,HP 682 Black Original Ink Advantage Cartridge HP-682-BLACK,RM 40.00
122,Boomwave Backpack Light Series - Dark Blue,RM 132.00
123,Microsoft Surface Laptop 4,"RM 3,999.00 - RM 8,299.00"
124,TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco HC4 (2-pack),RM 399.00
